what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1656509120666
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1656509125107
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1656509125497
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1656509125528
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1656509165280
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1656509165389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1656509183061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1656509190739
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1656509193138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509193482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509201279
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1656509214873
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1656509216227
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1656509220476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509247607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509300384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509313769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509490644
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1656509492078
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1656509493032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509493360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509498911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509508151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509510708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509512304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509514045
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656509514389
